title,company,salary,location,duration,link,date
Python Developer | Backend,Uplers,,Remote,Not specified,/rc/clk?jk=bf99696e7dae5542&bb=1WleVgRJwzEjRBo9Ed8V8ixMoiWfhQJsX_1xOKpgfGzLdt_BSYQMhxFP1ZHYhqXJ1LlTNTpEtNlkc-eOLfuE9izHxIMYM6mR_FLOH484Q4U%3D&xkcb=SoDZ67M3DSdGQOgIkL0AbzkdCdPP&fccid=0e2f08d304beb5b1&cmp=Uplers&ti=Python+Developer&vjs=3,Active 5 days ago
Backend Developer,Infraveo Technologies Pvt. Ltd.,"₹60,000 - ₹95,000 a month",Remote,Not specified,/rc/clk?jk=5538ed07d301490c&bb=1WleVgRJwzEjRBo9Ed8V8p08dgg2epIJEzsjpgIA5yYBV9OLC3wqxcxZPcDaD4ONQ535cObaAlMkF1GISTL8I6N3kBCuXEVlHdF0WX2Hq5o%3D&xkcb=SoBX67M3DSdGQOgIkL0HbzkdCdPP&fccid=d13980a350549a80&cmp=Infraveo-Technologies-Pvt.-Ltd.&ti=Back+End+Developer&vjs=3,Active 21 days ago
Node js developer,Ultimez Technology,"₹25,000 - ₹41,000 a month",Remote,Not specified,/rc/clk?jk=b0f4257264d055c7&bb=1WleVgRJwzEjRBo9Ed8V8vuuZPyBr6gT5y_cjDfrDdu-A6mVxjon9zKgDWy6Xsegy-D44yRKgabFH9RMvaAmDZwXBTPCXddMEH0tknawGX0%3D&xkcb=SoDj67M3DSdGQOgIkL0GbzkdCdPP&fccid=d0710e829afbd6f4&cmp=Ultimez-Technology-Inc.&ti=Developer&vjs=3,Active 3 days ago
Python Backend Developer,Remunance,,Remote,Not specified,/rc/clk?jk=8c471bd922b2cdfd&bb=1WleVgRJwzEjRBo9Ed8V8jCDZUgsiQclCE_B8M11-28ZDP2c7bxnjP0pH_YJfW6-z5E9qNFrQNIYkZpLNGaYnOGrj2F1qUSSWiDkLs8i9J0%3D&xkcb=SoB-67M3DSdGQOgIkL0FbzkdCdPP&fccid=13faa59eee645d5d&vjs=3,Posted 2 days ago
Front End Developer,Resurge Technologies Pvt Ltd,"₹2,00,000 - ₹4,00,000 a year",Remote,Not specified,/rc/clk?jk=57b4680029d0f5a8&bb=Jx4l6Cp0vNNk5P8t-R3zWR8CVWzwxIFW9z_c5uYlWISd_kTW8kQw_zjYyQY8bmnReUqz9Xem0k-tO8QJTLTZuUI2-xcXHU9IHm4T71fb-iU%3D&xkcb=SoDP67M3DSdE6bR86J0KbzkdCdPP&fccid=1b0745811ce564e5&cmp=Resurge-Technologies-Pvt-Ltd&ti=Front+End+Developer&vjs=3,Active 16 days ago
Senior Backend Developer (WFH),absoluteAssist Services,"₹20,00,000 - ₹25,00,000 a year",Remote,Not specified,/rc/clk?jk=97958631347af464&bb=Jx4l6Cp0vNNk5P8t-R3zWSgknD83EATwzylilhpX0HnI4K0AzJoIO7X2knRLfysoexLJFo9JHMOHfvGZYsHNEYm_E10w_vZ-V0zedoyAQ3A%3D&xkcb=SoBS67M3DSdE6bR86J0JbzkdCdPP&fccid=d218e4dcc004350d&cmp=absoluteAssist-Services&ti=Back+End+Developer&vjs=3,Active 8 days ago
Python Developer (SDET),INT9 Solutions,"Up to ₹20,00,000 a year",Remote,Not specified,/rc/clk?jk=e0c548dd10a12e34&bb=Jx4l6Cp0vNNk5P8t-R3zWX3Vz9Ete5y259oB-Glh9iViENWmqWrwb2rkTf_NNRSLJZmlbABsBswWgxXjdTUzWfFa5cpIlQi8-vWag5Z3KQM%3D&xkcb=SoDm67M3DSdE6bR86J0IbzkdCdPP&fccid=8bb5ec5687fe00a6&cmp=INT9-Solutions&ti=Python+Developer&vjs=3,Active 3 days ago
Backend Developer - Laravel + Node,Weblianz Solutions,"₹1,80,000 - ₹6,00,000 a year",Remote,Not specified,/rc/clk?jk=462612aea165c012&bb=Jx4l6Cp0vNNk5P8t-R3zWX-rsO_zORSuxlGXGB2_sd3vKDasjRlJX6eYnD4IdYKWnwWgklz7WOPIjPIOol5oNPFhyGQolE01HrTdBgb5l0A%3D&xkcb=SoBo67M3DSdE6bR86J0PbzkdCdPP&fccid=4bf0598ef4567717&cmp=Weblianz-Solutions&ti=Back+End+Developer&vjs=3,Active 2 days ago
Full Stack Java Developer,Growth99,"₹35,000 - ₹50,000 a month",Remote,Not specified,/rc/clk?jk=d5d83066266661f8&bb=Jx4l6Cp0vNNk5P8t-R3zWablDEdf_U_v0TAez0H0xr-oPqOB3zdQ6Hp8Fr3OUzB5XKtO8e7SB3xdMSItCTkfrNXSf8LRPLnyLfC8poPx0UY%3D&xkcb=SoDc67M3DSdE6bR86J0ObzkdCdPP&fccid=a1cbda0c16c36f73&cmp=Growth99&ti=Full+Stack+Developer&vjs=3,Posted 2 days ago
Java Backend Developer,It consultant,"₹25,000 a month",Remote,Not specified,/rc/clk?jk=38d03417f1cc8890&bb=Jx4l6Cp0vNNk5P8t-R3zWQJ6FneQgz3a9XtLh2-bonujTMm3JYhXK_SzbGP70Hqiu14EXXMML4sc52_QrVCf78ZG-6ik1doYNSbBbDu40CI%3D&xkcb=SoBB67M3DSdE6bR86J0NbzkdCdPP&fccid=e67c45308f6c5ad9&cmp=Legavac-resource-solutions&ti=Back+End+Developer&vjs=3,Active 2 days ago
